20240629	21:54:16	695b430e-8f50-4755-910c-a5517ba8104a	GET	 undefined	 /
20240629	21:54:30	3ca4642f-84d5-455d-9715-970c2354757a	GET	 undefined	 /newpage
20240629	21:55:27	46ffa791-21a5-4ac3-aec0-132179b54929	GET	 undefined	 /newpage
20240629	21:55:29	ed8df990-a40e-4b8d-9965-a415170ed047	GET	 undefined	 /newpage
20240629	21:55:31	53dd4377-ec84-4f7c-8d1c-3553bc904bd9	GET	 undefined	 /
20240630	09:56:50	1a518a97-ef52-4e43-8766-430c3d2a024f	GET	 undefined	 /
20240630	09:56:51	670c8aaf-a4c5-4b9b-aee9-5935c4d27f3d	GET	 undefined	 /favicon.ico
20240630	09:57:09	c4fa8b0f-a518-4e69-8482-e812f9dbdb5a	GET	 undefined	 /
20240630	09:57:10	9da67993-3940-48de-a8e7-82f70733059d	GET	 undefined	 /
20240630	09:59:24	dbca59a8-4c23-4aca-a5bf-4839b3cd5657	OPTIONS	 https://www.google.com	 /
20240630	09:59:24	26db0052-06fd-496c-a009-ad9322b3cbad	GET	 https://www.google.com	 /
20240630	11:01:37	02cecec0-f1dc-4167-baf0-14007c0c977c	GET	 undefined	 /
20240630	11:01:37	b3d4561a-e36f-49e8-9665-9b2cc3f5c489	GET	 undefined	 /
20240630	11:01:53	6ff9f1cd-170c-44af-a80a-0caa32c988d3	GET	 undefined	 /h/=
20240630	11:01:53	3c9fb99d-1450-4e54-b977-3884c65cdd4e	GET	 undefined	 /h/css/style.css
20240630	11:04:21	62946f3e-5720-4705-a9cb-624cf8ad0ad1	GET	 undefined	 /h/=
20240630	11:04:21	c68bbece-7ac8-412c-8425-2333e661accc	GET	 undefined	 /h/css/style.css
20240630	11:04:25	9d5616dd-c3ec-4cee-a9e7-1986b139661c	GET	 undefined	 /h
20240630	11:04:25	8e050fd6-34c3-4b16-99cc-36ade2ebf76c	GET	 undefined	 /css/style.css
20240630	11:04:31	79bf2700-a886-4270-9a67-d025aff04f71	GET	 undefined	 /
20240630	11:06:00	ee340817-c318-40f6-907a-993522a9c394	GET	 null	 /
20240630	11:09:00	cc714a53-e43c-4a9c-b4f6-64baa3958d86	GET	 undefined	 /
20240630	11:09:15	5f2d1ec6-b865-4813-bf50-8a2d11f97fff	OPTIONS	 https://www.google.com	 /
20240630	11:09:15	d54e706f-d072-4f14-ac10-79b96020aa58	GET	 https://www.google.com	 /
20240630	11:10:58	4e598d19-4fa6-4ae5-af4c-9e72ffc58b75	GET	 undefined	 /kljk
20240630	11:10:58	32196873-a1bf-4e67-ad79-052b7895e3f0	GET	 undefined	 /css/style.css
20240630	11:15:46	1c4a85c3-969d-4334-b0d0-8d17757a814a	GET	 undefined	 /kljk
20240630	11:15:46	d057a9fc-b0a4-4b02-9ad0-0145193348ae	GET	 undefined	 /css/style.css
20240630	11:15:50	8832f3a2-c633-4232-8ed4-88d686988dca	GET	 undefined	 /newpage
20240630	11:15:58	d23815a8-3974-4c65-9efd-d04582880f56	GET	 undefined	 /
20240630	11:15:59	dad3fa01-20d0-47e1-9217-a1efff317e5b	GET	 undefined	 /fed
20240630	11:15:59	27e88143-92b0-4637-8672-fa591d7e6a05	GET	 undefined	 /css/style.css
20240630	11:16:32	df16ccae-0326-4b97-a148-241945029ebd	GET	 undefined	 /
20240630	11:17:01	09d8a5de-80b4-454f-b4dd-1fc3d54dee32	GET	 null	 /
20240630	11:28:30	c0e1ab5f-9edd-4e2b-a244-52b4853ba245	GET	 undefined	 /
20240630	11:28:30	0191116e-b958-40df-ae39-e4ecbb8a4d9f	GET	 undefined	 /
